time,open,high,low,close,Plot,Plot.1,Plot.2,Plot.3,Volume,RelVolStDev,PlotCandle (Open),PlotCandle (High,PlotCandle (Low),PlotCandle (Close),Plot.4,CVO Histogram,CVO Line,Signal Line,Upper Dev,Lower Dev
2019-11-29 09:30:00-05:00,39.1,39.515,39.02,39.15,39.243341458262215,38.75089525119222,35.16069810335645,30.12039421575373,17609932,0.0,-9213886497,-9213886497,-9231496429,-9231496429,-9530262898.7,107185052.85696173,107185052.85696173,135965515.77354515,,
2019-12-02 09:30:00-05:00,39.32,39.41,38.44,38.73,39.12926557864839,38.74791021530761,35.306383895056186,30.20606193499997,37942678,0.0,-9213886497,-9213886497,-9251829175,-9251829175,-9520802919.48,91306883.43299724,91306883.43299724,129585711.15346688,,
2019-12-03 09:30:00-05:00,37.34,38.93,37.15,38.9,39.07831767228208,38.76963732740653,35.45306210342124,30.29256878141788,52991201,0.066150883893205,-9198837974,-9198837974,-9251829175,-9251829175,-9511186832.98,85193751.98306274,85193751.98306274,123244002.700552,,
2019-12-04 09:30:00-05:00,39.38,39.82,39.13,39.69,39.214247078441616,38.90111770920559,35.62599834409792,30.386075559712225,44372195,0.0,-9154465779,-9154465779,-9198837974,-9198837974,-9499218883.74,84976901.77638102,84976901.77638102,117777273.997099,,
2019-12-05 09:30:00-05:00,39.95,40.22,39.55,39.62,39.30441439434348,39.00381517931908,35.789018819849026,30.47795540488922,35710943,0.0,-9154465779,-9154465779,-9190176722,-9190176722,-9489138984.94,78417552.5135479,78417552.5135479,112154456.642306,,
2019-12-06 09:30:00-05:00,40.1,40.19,39.56,39.63,39.37676675115604,39.09327015370207,35.945793561896004,30.569020525238574,31150377,0.0,-9190176722,-9190176722,-9221327099,-9221327099,-9478858449.12,76285889.35773563,76285889.35773563,107030375.60165308,,
2019-12-09 09:30:00-05:00,39.46,39.84,38.91,38.93,39.27748525089914,39.06994584603034,36.067597906308414,30.65221435085809,28035391,0.0,-9221327099,-9221327099,-9249362490,-9249362490,-9468055727.68,69556108.72518635,69556108.72518635,101676908.90501498,,
2019-12-10 09:30:00-05:00,39.2,39.73,38.82,39.44,39.31359963958822,39.12281072516887,36.20524697135705,30.73965500408339,33863025,0.0,-9215499465,-9215499465,-9249362490,-9249362490,-9457382386.78,67839163.90974426,67839163.90974426,96842945.334262,,
2019-12-11 09:30:00-05:00,39.44,39.61,39.04,39.47,39.34835527523528,39.17240919300189,36.33850219701594,30.82652410852037,31794689,0.0,-9183704776,-9183704776,-9215499465,-9215499465,-9445325830.66,69429734.5370121,69429734.5370121,92926772.36322632,,
2019-12-12 09:30:00-05:00,39.4,42.62,39.25,42.59,40.06872076962744,39.66063645114448,36.59366537264794,30.94357361987837,87398169,2.1421208640849856,-9096306607,-9096306607,-9183704776,-9183704776,-9430640336.12,80628286.7777667,80628286.7777667,91169845.8510178,,
2019-12-13 09:30:00-05:00,42.35,42.95,41.06,41.15,40.30900504304356,39.873402672409554,36.77963821458068,31.04513010127262,79985411,1.650156927270509,-9096306607,-9096306607,-9176292018,-9176292018,-9418692657.96,76414465.97268867,76414465.97268867,89061934.43982792,,
2019-12-16 09:30:00-05:00,41.73,42.98,41.73,42.35,40.76255947792277,40.22720229063676,37.006999920108,31.157616368921648,58890776,0.4110152237399974,-9117401242,-9117401242,-9176292018,-9176292018,-9406259348.5,79624402.33328724,79624402.33328724,87713715.56746496,,
2019-12-17 09:30:00-05:00,42.51,43.105,42.15,42.77,41.20865737171771,40.59045910626008,37.24222441316482,31.27316247470352,44935574,0.0,-9072465668,-9072465668,-9117401242,-9117401242,-9393722232.92,86186111.45020962,86186111.45020962,87495486.40785706,,
